Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2013/14,Philadelphia,F,"Read, Matt",Concussion,0.9,65.853658537,6,6
2013/14,Philadelphia,D,"Bourdon, Marc-André",Concussion,0.6125,366.006097561,49,49
2013/14,Phoenix,D,"Klesla, Rostislav",Concussion,2.975,108.841463415,3,3
2013/14,Pittsburgh,F,"Neal, James",Concussion,5,121.951219512,2,2
2013/14,Pittsburgh,D,"Orpik, Brooks",Concussion,3.75,365.853658537,8,8
2013/14,St. Louis,F,"Steen, Alex",Concussion,3.3625,451.067073171,11,11
2013/14,Tampa Bay,D,"Kostka, Mike",Concussion,0.625,22.865853659,3,3
2013/14,Vancouver,D,"Alberts, Andrew",Concussion,0.6,300,41,41
2013/14 (playoffs),Colorado,F,"Mitchell, John",Concussion,1.1,93.902439024,7,7
2013/14 (playoffs),Montreal,F,"Moen, Travis",Concussion,1.85,90.243902439,4,4
2014/15,Anaheim,D,"Holzer, Korbinian",Concussion,0.7875,172.865853659,18,18
2014/15,Buffalo,F,"McCormick, Cody",Concussion,1.5,73.170731707,4,4
2014/15,Calgary,F,"Ferland, Micheal",Concussion,0.798055,77.859024390,8,8
2014/15,Carolina,F,"Skinner, Jeff",Concussion,5.725,279.268292683,4,4
2014/15,Carolina,D,"Hillen, Jack",Concussion,0.7,162.195121951,19,19
2014/15,Colorado,F,"Winchester, Jesse",Concussion,0.9,900.000000000,82,82
2014/15,Columbus,F,"Anisimov, Artem",Concussion,3.283333,280.284524390,7,7
2014/15,Columbus,F,"Calvert, Matt",Concussion,0.9875,180.640243902,15,15
2014/15,Columbus,F,"Dubinsky, Brandon",Concussion,4.2,153.658536585,3,3
2014/15,Dallas,F,"Eaves, Patrick",Concussion,0.65,55.487804878,7,7
2014/15,Detroit,F,"Franzén, Johan",Concussion,3.954545,2025.498658537,42,42
2014/15,Detroit,G,"Gustavsson, Jonas",Concussion,1.85,406.097560976,18,18
2014/15,Edmonton,F,"Fraser, Matt",Concussion,0.625,22.865853659,3,3
2014/15,Edmonton,D,"Ference, Andrew",Concussion,3.25,356.707317073,9,9
2014/15,Florida,F,"Pirri, Brandon",Concussion,0.925,112.804878049,10,10
2014/15,Los Angeles,D,"Martinez, Alec",Concussion,1.1,241.463414634,18,18
2014/15,Minnesota,F,"Parise, Zach",Concussion,7.538462,459.662317073,5,5
2014/15,Minnesota,D,"Ballard, Keith",Concussion,1.5,1024.390243902,56,56
2014/15,Montreal,F,"Parenteau, P.A.",Concussion,4,926.829268293,19,19
2014/15,Montreal,D,"Weaver, Mike",Concussion,1.75,42.682926829,2,2
2014/15,Montreal,D,"Weaver, Mike",Concussion,1.75,85.365853659,4,4
2014/15,New Jersey,F,"Clowe, Ryane",Concussion,4.85,4081.097560976,69,69
2014/15,NY Islanders,F,"Grabovski, Mikhail",Concussion,5,1402.439024390,23,23
2014/15,Ottawa,F,"MacArthur, Clarke",Concussion,3.25,713.414634146,18,18
2014/15,Ottawa,G,"Lehner, Robin",Concussion,2.225,732.621951220,27,27
2014/15,Pittsburgh,D,"Ehrhoff, Christian",Concussion,4,292.682926829,6,6
2014/15,Pittsburgh,D,"Letang, Kris",Concussion,7.25,618.902439024,7,7
2014/15,St. Louis,F,"Backes, David",Concussion,4.5,54.878048780,1,1
2014/15,St. Louis,F,"Oshie, T.J.",Concussion,4.175,356.402439024,7,7
2014/15,St. Louis,D,"Gunnarsson, Carl",Concussion,2.95,359.756097561,10,10
2014/15,Toronto,F,"Komarov, Leo",Concussion,2.95,503.658536585,14,14
2014/15,Vancouver,D,"Tanev, Chris",Concussion,2,48.780487805,2,2
2014/15 (playoffs),Anaheim,D,"Holzer, Korbinian",Concussion,0.7875,153.658536585,16,16
2014/15 (playoffs),Detroit,G,"Gustavsson, Jonas",Concussion,1.85,157.926829268,7,7
2014/15 (playoffs),Minnesota,D,"Ballard, Keith",Concussion,1.5,182.926829268,10,10
2014/15 (playoffs),Ottawa,G,"Lehner, Robin",Concussion,2.225,162.804878049,6,6
2014/15 (playoffs),Pittsburgh,D,"Letang, Kris",Concussion,7.25,442.073170732,5,5
2015/16,Anaheim,G,"Andersen, Frederik",Concussion,1.15,56.097560976,4,4
2015/16,Arizona,F,"Doan, Shane",Concussion,5.251992,64.048682927,1,1
2015/16,Boston,F,"Marchand, Brad",Concussion,4.5,109.756097561,2,2
2015/16,Carolina,F,"Di Giuseppe, Phillip",Concussion,0.925,67.682926829,6,6
2015/16,Carolina,D,"Murphy, Ryan",Concussion,1.313333,80.081280488,5,5
2015/16,Carolina,G,"Ward, Cam",Concussion,6.3,307.317073171,4,4
2015/16,Colorado,F,"Skille, Jack",Concussion,0.675,41.158536585,5,5
2015/16,Colorado,D,"Bigras, Chris",Concussion,0.934167,45.569121951,4,4
2015/16,Colorado,D,"Zadorov, Nikita",Concussion,1.744167,21.270329268,1,1
2015/16,Columbus,F,"Wennberg, Alexander",Concussion,1.4,85.365853659,5,5
2015/16,Detroit,F,"Franzén, Johan",Concussion,3.954545,3858.092682927,80,80
2015/16,Detroit,D,"Quincey, Kyle",Concussion,4.25,207.317073171,4,4
2015/16,Edmonton,F,"Nugent-Hopkins, Ryan",Concussion,6,219.512195122,3,3
2015/16,Edmonton,F,"Pakarinen, Iiro",Concussion,0.9,32.926829268,3,3
2015/16,Florida,F,"Howden, Quinton",Concussion,0.8505,41.487804878,4,4
2015/16,Minnesota,F,"Zucker, Jason",Concussion,0.90025,65.871951220,6,6
2015/16,Minnesota,G,"Kuemper, Darcy",Concussion,1.25,91.463414634,6,6
2015/16,Montreal,D,"Barberio, Mark",Concussion,0.6,80.487804878,11,11
2015/16,NY Rangers,D,"McDonagh, Ryan",Concussion,4.7,229.268292683,4,4
2015/16,Ottawa,F,"Lazar, Curtis",Concussion,1.285,47.012195122,3,3
2015/16,Ottawa,F,"MacArthur, Clarke",Concussion,4.65,4423.170731707,78,78
2015/16,Ottawa,D,"Methot, Marc",Concussion,4.9,179.268292683,3,3
2015/16,Ottawa,G,"Hammond, Andrew",Concussion,1.35,181.097560976,11,11
2015/16,Philadelphia,F,"Gagner, Sam",Concussion,3.2,429.268292683,11,11
2015/16,Pittsburgh,D,"Warsofsky, David",Concussion,0.6,117.073170732,16,16
2015/16,Pittsburgh,G,"Fleury, Marc-André",Concussion,5.75,350.609756098,5,5
2015/16,Pittsburgh,G,"Fleury, Marc-André",Concussion,5.75,560.975609756,8,8
2015/16,San Jose,F,"Smith, Ben",Concussion,1.5,384.146341463,21,21
2015/16,St. Louis,F,"Fabbri, Robby",Concussion,1.106667,80.975634146,6,6
2015/16,Toronto,F,"Holland, Peter",Concussion,0.775,113.414634146,12,12
2015/16,Winnipeg,F,"Perreault, Mathieu",Concussion,3,365.853658537,10,10
2015/16,Winnipeg,F,"Scheifele, Mark",Concussion,1.713333,83.577219512,4,4
2015/16 (playoffs),Detroit,F,"Franzén, Johan",Concussion,3.954545,241.130792683,5,5
2015/16 (playoffs),Pittsburgh,G,"Fleury, Marc-André",Concussion,5.75,490.853658537,7,7
2016/17,Anaheim,D,"Després, Simon",Concussion,3.7,3654.878048780,81,81
2016/17,Arizona,D,"Chychrun, Jakob",Concussion,1.35,16.463414634,1,1
2016/17,Boston,F,"Backes, David",Concussion,6,219.512195122,3,3
2016/17,Boston,F,"Spooner, Ryan",Concussion,0.95,34.756097561,3,3
2016/17,Boston,D,"Liles, John-Michael",Concussion,2.25,521.341463415,19,19
2016/17,Boston,D,"Miller, Kevan",Concussion,2.5,121.951219512,4,4
2016/17,Carolina,F,"Staal, Jordan",Concussion,6,512.195121951,7,7
2016/17,Carolina,G,"Läck, Eddie",Concussion,2.75,435.975609756,13,13
2016/17,Carolina,G,"Läck, Eddie",Concussion,2.75,469.512195122,14,14
2016/17,Dallas,F,"Sharp, Patrick",Concussion,5.9,863.414634146,12,12
2016/17,Dallas,F,"Sharp, Patrick",Concussion,5.9,1007.317073171,14,14
2016/17,Florida,F,"Griffith, Seth",Concussion,0.625,30.487804878,4,4
2016/17,Florida,F,"Malgin, Denis",Concussion,0.7,76.829268293,9,9
2016/17,Florida,F,"Smith, Reilly",Concussion,3.425,83.536585366,2,2
2016/17,Florida,D,"Ekblad, Aaron",Concussion,3.775,184.146341463,4,4
2016/17,Montreal,F,"Shaw, Andrew",Concussion,3.9,665.853658537,14,14
2016/17,New Jersey,F,"Josefson, Jacob",Concussion,1.1,67.073170732,5,5
2016/17,New Jersey,F,"Zacha, Pavel",Concussion,1.744167,85.081317073,4,4
2016/17,New Jersey,D,"Moore, John",Concussion,1.666667,345.528524390,17,17
2016/17,NY Rangers,F,"Puempel, Matt",Concussion,0.9,54.878048780,5,5
2016/17,NY Rangers,F,"Puempel, Matt",Concussion,0.9,76.829268293,7,7
2016/17,NY Rangers,D,"Staal, Marc",Concussion,5.7,625.609756098,9,9
2016/17,Ottawa,F,"Lazar, Curtis",Concussion,1.254167,45.884158537,3,3
2016/17,Ottawa,F,"MacArthur, Clarke",Concussion,4.65,4423.170731707,78,78
2016/17,Philadelphia,D,"Manning, Brandon",Concussion,0.975,35.670731707,3,3
2016/17,Pittsburgh,F,"Crosby, Sidney",Concussion,8.7,636.585365854,6,6
2016/17,Pittsburgh,F,"Guentzel, Jake",Concussion,0.991667,48.374,4,4
2016/17,Pittsburgh,F,"Hagelin, Carl",Concussion,4,243.902439024,5,5
2016/17,Pittsburgh,F,"Hörnqvist, Patric",Concussion,4.25,259.146341463,5,5
2016/17,Pittsburgh,F,"Hörnqvist, Patric",Concussion,4.25,310.975609756,6,6
2016/17,Pittsburgh,D,"Schultz, Justin",Concussion,1.4,51.219512195,3,3
2016/17,Vancouver,F,"Bärtschi, Sven",Concussion,1.85,203.048780488,9,9
2016/17,Winnipeg,F,"Laine, Patrik",Concussion,3.575,348.780487805,8,8
2016/17,Winnipeg,D,"Enström, Tobias",Concussion,5.75,631.097560976,9,9
2016/17 (playoffs),Anaheim,D,"Després, Simon",Concussion,3.7,767.073170732,17,17
2016/17 (playoffs),Montreal,F,"Shaw, Andrew",Concussion,3.9,47.560975610,1,1
2016/17 (playoffs),Pittsburgh,F,"Crosby, Sidney",Concussion,8.7,106.097560976,1,1
2016/17 (playoffs),Pittsburgh,F,"Sheary, Conor",Concussion,0.925,11.280487805,1,1
2016/17 (playoffs),Pittsburgh,D,"Ruhwedel, Chad",Concussion,0.575,21.036585366,3,3
2017/18,Anaheim,F,"Kaše, Ondřej",Concussion,0.706667,86.178902439,10,10
2017/18,Anaheim,G,"Gibson, John",Concussion,2.3,28.048780488,1,1
2017/18,Boston,G,"Rask, Tuukka",Concussion,7,170.731707317,2,2
2017/18,Buffalo,F,"Okposo, Kyle",Concussion,6,219.512195122,3,3
2017/18,Buffalo,D,"Antipin, Victor",Concussion,1.775,86.585365854,4,4
2017/18,Carolina,F,"Aho, Sebastian",Concussion,1.775,86.585365854,4,4
2017/18,Carolina,D,"Hanifin, Noah",Concussion,1.775,64.939024390,3,3
2017/18,Carolina,D,"Pesce, Brett",Concussion,0.925,33.841463415,3,3
2017/18,Carolina,D,"van Riemsdyk, Trevor",Concussion,0.825,30.182926829,3,3
2017/18,Colorado,F,"Wilson, Colin",Concussion,3.9375,384.146341463,8,8
2017/18,Colorado,G,"Bernier, Jonathan",Concussion,2.75,268.292682927,8,8
2017/18,Colorado,G,"Hammond, Andrew",Concussion,1.35,197.560975610,12,12
2017/18,Dallas,D,"Johns, Stephen",Concussion,0.725,26.524390244,3,3
2017/18,Edmonton,F,"Draisaitl, Leon",Concussion,8.5,414.634146341,4,4
2017/18,Los Angeles,F,"Lewis, Trevor",Concussion,2,292.682926829,12,12
2017/18,Minnesota,D,"Olofsson, Gustav",Concussion,0.725,44.207317073,5,5
2017/18,Montreal,F,"Danault, Phillip",Concussion,0.9125,166.920731707,15,15
2017/18,Montreal,F,"Hemský, Aleš",Concussion,1,902.439024390,74,74
2017/18,Montreal,F,"Scherbak, Nikita",Concussion,1.063333,25.934951220,2,2
2017/18,Montreal,G,"Montoya, Al",Concussion,1.0625,310.975609756,24,24
2017/18,Montreal,G,"Price, Carey",Concussion,6.5,1030.487804878,13,13
2017/18,New Jersey,F,"Johansson, Marcus",Concussion,4.583333,726.625963415,13,13
2017/18,New Jersey,F,"Johansson, Marcus",Concussion,4.583333,1956.300670732,35,35
2017/18,NY Rangers,F,"Buchnevich, Pavel",Concussion,0.925,78.963414634,7,7
2017/18,NY Rangers,F,"Vesey, Jimmy",Concussion,3.775,138.109756098,3,3
2017/18,NY Rangers,F,"Zibanejad, Mika",Concussion,5.35,587.195121951,9,9
2017/18,Ottawa,D,"Borowiecki, Mark",Concussion,1.1,281.707317073,21,21
2017/18,Ottawa,G,"Condon, Mike",Concussion,2.4,87.804878049,3,3
2017/18,Pittsburgh,F,"Rust, Bryan",Concussion,0.64,15.609756098,2,2
2017/18,Pittsburgh,D,"Dumoulin, Brian",Concussion,4.1,100,2,2
2017/18,Pittsburgh,D,"Hunwick, Matt",Concussion,2.25,411.585365854,15,15
2017/18,Pittsburgh,D,"Schultz, Justin",Concussion,5.5,402.439024390,6,6
2017/18,Pittsburgh,G,"Murray, Matt",Concussion,3.75,411.585365854,9,9
2017/18,San Jose,F,"Couture, Logan",Concussion,6,292.682926829,4,4
2017/18,St. Louis,F,"Blais, Sammy",Concussion,0.725833,8.851621951,1,1
2017/18,Vancouver,F,"Gagner, Sam",Concussion,3.15,38.414634146,1,1
2017/18,Vegas,G,"Fleury, Marc-André",Concussion,5.75,1753.048780488,25,25
2017/18,Washington,F,"Connolly, Brett",Concussion,1.5,128.048780488,7,7
2017/18,Winnipeg,D,"Kulikov, Dmitry",Concussion,4.333333,158.536573171,3,3
2017/18,Winnipeg,D,"Trouba, Jacob",Concussion,2.8125,171.493902439,5,5
2017/18,Winnipeg,G,"Hutchinson, Michael",Concussion,1.15,70.121951220,5,5
2017/18,Winnipeg,G,"Hutchinson, Michael",Concussion,1.15,84.146341463,6,6
2017/18,Winnipeg,G,"Mason, Steve",Concussion,4.1,350,7,7
2017/18,Winnipeg,G,"Mason, Steve",Concussion,4.1,1000,20,20
2017/18 (playoffs),Minnesota,D,"Olofsson, Gustav",Concussion,0.725,44.207317073,5,5
2017/18 (playoffs),New Jersey,F,"Johansson, Marcus",Concussion,4.583333,111.788609756,2,2
2018/19,Anaheim,F,"Kaše, Ondřej",Concussion,2.6,570.731707317,18,18
2018/19,Boston,F,"DeBrusk, Jake",Concussion,1.288333,141.402402439,9,9
2018/19,Boston,F,"Kuraly, Sean",Concussion,1.275,31.097560976,2,2
2018/19,Boston,D,"Krug, Torey",Concussion,5.25,384.146341463,6,6
2018/19,Boston,D,"McAvoy, Charlie",Concussion,1.258333,306.910487805,20,20
2018/19,Boston,D,"Vaakanainen, Urho",Concussion,1.333333,422.764121951,26,26
2018/19,Boston,G,"Rask, Tuukka",Concussion,7,85.365853659,1,1
2018/19,Buffalo,F,"Okposo, Kyle",Concussion,6,292.682926829,4,4
2018/19,Calgary,F,"Backlund, Mikael",Concussion,5.35,260.975609756,4,4
2018/19,Calgary,F,"Dubé, Dillon",Concussion,0.910833,44.430878049,4,4
2018/19,Carolina,F,"Ferland, Micheal",Concussion,1.75,85.365853659,4,4
2018/19,Carolina,F,"Staal, Jordan",Concussion,6,365.853658537,5,5
2018/19,Carolina,F,"Staal, Jordan",Concussion,6,1975.609756098,27,27
2018/19,Carolina,D,"Fleury, Haydn",Concussion,1.713333,62.682914634,3,3
2018/19,Carolina,D,"Fleury, Haydn",Concussion,1.713333,188.048743902,9,9
2018/19,Chicago,F,"Anisimov, Artem",Concussion,4.55,221.951219512,4,4
2018/19,Chicago,F,"Caggiula, Drake",Concussion,1.5,237.804878049,13,13
2018/19,Chicago,F,"Krüger, Marcus",Concussion,2.775,135.365853659,4,4
2018/19,Chicago,F,"Perlini, Brendan",Concussion,1.363333,49.878036585,3,3
2018/19,Chicago,G,"Crawford, Corey",Concussion,6,365.853658537,5,5
2018/19,Chicago,G,"Crawford, Corey",Concussion,6,2048.780487805,28,28
2018/19,Colorado,F,"Compher, J.T.",Concussion,1,195.121951220,16,16
2018/19,Colorado,D,"Johnson, Erik",Concussion,6,146.341463415,2,2
2018/19,Columbus,D,"Harrington, Scott",Concussion,0.675,16.463414634,2,2
2018/19,Detroit,F,"Nielsen, Frans",Concussion,5.25,320.121951220,5,5
2018/19,Edmonton,D,"Petrovic, Alex",Concussion,1.95,142.682926829,6,6
2018/19,Florida,D,"Weegar, MacKenzie",Concussion,0.9,43.902439024,4,4
2018/19,New Jersey,D,"Vatanen, Sami",Concussion,4.875,832.317073171,14,14
2018/19,NY Islanders,D,"Boychuk, Johnny",Concussion,6,146.341463415,2,2
2018/19,NY Rangers,F,"Buchnevich, Pavel",Concussion,0.925,11.280487805,1,1
2018/19,NY Rangers,F,"Namestnikov, Vladislav",Concussion,4,146.341463415,3,3
2018/19,Ottawa,F,"Formenton, Alex",Concussion,0.894166,32.713390244,3,3
2018/19,Ottawa,F,"Ryan, Bobby",Concussion,7.25,265.243902439,3,3
2018/19,Ottawa,D,"Falk, Justin",Concussion,0.65,95.121951220,12,12
2018/19,Ottawa,G,"Anderson, Craig",Concussion,4.75,637.195121951,11,11
2018/19,Pittsburgh,F,"Hörnqvist, Patric",Concussion,5.3,193.902439024,3,3
2018/19,Pittsburgh,F,"Hörnqvist, Patric",Concussion,5.3,258.536585366,4,4
2018/19,Pittsburgh,D,"Dumoulin, Brian",Concussion,4.1,150,3,3
2018/19,Pittsburgh,D,"Oleksiak, Jamie",Concussion,2.1375,78.201219512,3,3
2018/19,Pittsburgh,G,"Murray, Matt",Concussion,3.75,45.731707317,1,1
2018/19,San Jose,D,"Šimek, Radim",Concussion,0.675,16.463414634,2,2
2018/19,St. Louis,F,"Bozak, Tyler",Concussion,5,548.780487805,9,9
2018/19,St. Louis,F,"Perron, David",Concussion,4,1170.731707317,24,24
2018/19,St. Louis,F,"Sanford, Zach",Concussion,0.925,33.841463415,3,3
2018/19,St. Louis,F,"Soshnikov, Nikita",Concussion,0.8,97.560975610,10,10
2018/19,St. Louis,F,"Steen, Alex",Concussion,5.75,140.243902439,2,2
2018/19,Toronto,F,"Johnsson, Andreas",Concussion,0.7875,9.603658537,1,1
2018/19,Toronto,F,"Kadri, Nazem",Concussion,4.5,439.024390244,8,8
2018/19,Toronto,F,"Kapanen, Kasperi",Concussion,0.863333,42.113804878,4,4
2018/19,Toronto,G,"Sparks, Garret",Concussion,0.675,41.158536585,5,5
2018/19,Vancouver,F,"Bärtschi, Sven",Concussion,3.366666,944.308756098,23,23
2018/19,Vancouver,F,"Bärtschi, Sven",Concussion,3.366666,1231.707073171,30,30
2018/19,Vancouver,F,"Pettersson, Elias",Concussion,3.775,276.219512195,6,6
2018/19,Vancouver,F,"Roussel, Antoine",Concussion,3,146.341463415,4,4
2018/19,Vancouver,D,"Edler, Alexander",Concussion,5,670.731707317,11,11
2018/19,Vancouver,D,"Stecher, Troy",Concussion,2.325,85.060975610,3,3
2018/19,Washington,F,"Oshie, T.J.",Concussion,5.75,771.341463415,11,11
2018/19,Washington,F,"Wilson, Tom",Concussion,5.166666,189.024365854,3,3
2018/19,Winnipeg,F,"Copp, Andrew",Concussion,1,36.585365854,3,3
2018/19,Winnipeg,D,"Byfuglien, Dustin",Concussion,7.6,370.731707317,4,4
2018/19 (playoffs),Boston,D,"Grzelcyk, Matt",Concussion,1.4,68.292682927,4,4
2018/19 (playoffs),Carolina,F,"Svechnikov, Andrei",Concussion,3.575,261.585365854,6,6
2019/20,Boston,G,"Rask, Tuukka",Concussion,7,256.097560976,3,3
2019/20,Buffalo,F,"Okposo, Kyle",Concussion,6,731.707317073,10,10
2019/20,Buffalo,D,"Dahlin, Rasmus",Concussion,3.775,368.292682927,8,8
2019/20,Carolina,G,"Mrázek, Petr",Concussion,3.125,228.658536585,6,6
2019/20,Chicago,F,"Caggiula, Drake",Concussion,1.5,493.902439024,27,27
2019/20,Chicago,F,"Dach, Kirby",Concussion,3.425,83.536585366,2,2
2019/20,Chicago,F,"Shaw, Andrew",Concussion,3.9,2092.682926829,44,44
2019/20,Chicago,F,"Strome, Dylan",Concussion,3.338333,162.845512195,4,4
2019/20,Chicago,D,"Boqvist, Adam",Concussion,1.744167,21.270329268,1,1
2019/20,Chicago,D,"Carlsson, Lucas",Concussion,0.925,22.560975610,2,2
2019/20,Colorado,F,"Bellemare, Pierre-Édouard",Concussion,1.8,21.951219512,1,1
2019/20,Colorado,F,"Donskoi, Joonas",Concussion,3.9,237.804878049,5,5
2019/20,Colorado,G,"Francouz, Pavel",Concussion,0.95,23.170731707,2,2
2019/20,Columbus,G,"Merzļikins, Elvis",Concussion,0.874125,42.640243902,4,4
2019/20,Dallas,D,"Heiskanen, Miro",Concussion,3.394166,41.392268293,1,1
2019/20,Edmonton,F,"Sheahan, Riley",Concussion,0.9,21.951219512,2,2
2019/20,Edmonton,D,"Benning, Matt",Concussion,1.9,92.682926829,4,4
2019/20,Edmonton,D,"Persson, Joel",Concussion,1,85.365853659,7,7
2019/20,Edmonton,D,"Russell, Kris",Concussion,4,682.926829268,14,14
2019/20,Minnesota,F,"Greenway, Jordan",Concussion,1.225,29.878048780,2,2
2019/20,Montreal,F,"Gallagher, Brendan",Concussion,3.75,182.926829268,4,4
2019/20,Montreal,F,"Kotkaniemi, Jesperi",Concussion,3.425,334.146341463,8,8
